year,president,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23,T24,T25,T26,T27,T28,T29
1962,Kennedy,0.020329036990464216,0.032825107408571724,0.021743686471759407,0.04107722938279367,0.03243214921932307,0.05710992350413916,0.011762548464843339,0.027638059310489363,0.03148904956512627,0.02881693387823536,0.03958398826364875,0.032589332495022535,0.030781724824478676,0.023787069055852456,0.022608194488106467,0.058131614796185685,0.033846798700618255,0.029524258618882953,0.030545949910929477,0.03313947395997066,0.02127213664466101,0.027952425861888296,0.022686786125956197,0.023315519228754064,0.062061196688672327,0.03518285654406371,0.03589018128471131,0.04312061196688672,0.03746201404170596,0.05129414230325893
1963,Kennedy,0.027897980592709152,0.01875163912929452,0.03193023865722528,0.04461709939680042,0.02071859428271702,0.08149750852347233,0.015014424337791763,0.03429058484133228,0.06448334644636769,0.027209546289011278,0.030455022292158407,0.036454235510097036,0.0456989247311828,0.023078940466824023,0.011277209546289012,0.03566745344872804,0.024750852347233152,0.04314188303173354,0.028291371623393655,0.050419617099396796,0.03163519538421191,0.02976658798846053,0.021997115132441646,0.023865722528193023,0.06389325990034092,0.014916076580120638,0.009015211119853135,0.03134015211119853,0.029078153684762655,0.048846052976658796
1964,JohnsonII,0.0374617737003058,0.04204892966360857,0.021734381826124943,0.0232088248143294,0.032383136740934904,0.03713411970292704,0.022717343818261244,0.044506334643949326,0.04909349060725208,0.017311052861511578,0.03418523372651813,0.01370685889034513,0.06760594145915247,0.019276976845784187,0.022553516819571864,0.038936216688510265,0.03680646570554827,0.038936216688510265,0.04483398864132809,0.02763215377894277,0.024191786806465703,0.03254696373962429,0.05482743556138052,0.012560069899519442,0.028123634775010918,0.02288117081695063,0.04892966360856269,0.017147225862822194,0.057284840541721276,0.029434250764525993
1965,JohnsonII,0.048325911265050314,0.02135906317004783,0.02284347682665347,0.03756391225465941,0.04733630216064655,0.05104733630216065,0.02593600527791522,0.04894441695530266,0.014308098301171038,0.03410028038924625,0.08382813788553521,0.0347187860794986,0.0409038429820221,0.01826653471878608,0.016534718786079497,0.010968167573808345,0.04696519874649514,0.03991423387761834,0.025193798449612403,0.04115124525812304,0.03335807356094343,0.034966188355599545,0.030265545109681675,0.01839023585683655,0.04152234867227445,0.03422398152729672,0.010720765297707406,0.04350156688108198,0.023956787069107702,0.01888504040903843
1966,JohnsonII,0.054552070927616776,0.03390895858144767,0.07618764059812094,0.03916898240042345,0.03361122138414715,0.05346036787084822,0.03390895858144767,0.04115389704909356,0.04105465131666005,0.03579462749768427,0.053460367870848215,0.015945481010983194,0.04353579462749768,0.02934365488950642,0.021602487759693,0.02567156278946672,0.0289466719597724,0.03192404393277756,0.017930395659653302,0.0271602487759693,0.025373825592166204,0.027358740240836312,0.03331348418684663,0.011777160248775969,0.040657668386926034,0.0327180097922456,0.02100701336509197,0.029244409157072913,0.01346433770014556,0.02676326584623528
1967,JohnsonII,0.04549927491195359,0.02374663351978455,0.05303501139424072,0.06290138802568883,0.0327584420965403,0.028485601823078514,0.036176714315309715,0.045266210897037494,0.03936192251916304,0.03353532214626062,0.03198156204681997,0.0195514812512948,0.038818106484358815,0.028796353842966648,0.025145017609281128,0.036176714315309715,0.02856328982805055,0.04992749119535944,0.01792003314688212,0.039128858504246945,0.03454526621089704,0.024368137559560805,0.03112699399212762,0.013647192873420342,0.05101512326496789,0.04347938678268075,0.0195514812512948,0.024989641599337066,0.020483737310959187,0.020017609281126995
1968,JohnsonII,0.04333481613285883,0.03110172004744959,0.03688463819691578,0.039664887307236066,0.03855278766310795,0.026875741399762752,0.027098161328588378,0.03755189798339265,0.057792111506524316,0.025318801897983394,0.031212930011862393,0.017645314353499406,0.03799673784104389,0.028655100830367736,0.015754744958481615,0.045114175563463824,0.03454922894424674,0.045670225385527875,0.023094602609727163,0.028877520759193358,0.03543890865954923,0.018201364175563464,0.03788552787663108,0.0195358837485172,0.028766310794780543,0.04166666666666667,0.05934905100830368,0.03933125741399763,0.022427342823250297,0.024651542111506525
1969,JohnsonII,0.08223053317990026,0.03389911775987725,0.0362006137322593,0.04569428461833526,0.0218162639048715,0.04813962408899118,0.06712696586114308,0.025700038358266203,0.036632144227080936,0.03476217874952052,0.039796701189106255,0.023686229382431916,0.03850210970464135,0.0244054468738013,0.022391637897967012,0.030734560797851935,0.02972765630993479,0.03231683927886459,0.03073456079785194,0.032460682777138476,0.03461833525124664,0.025124664365170694,0.03231683927886459,0.003979670118910625,0.023973916378979672,0.04770809359416954,0.052023398542385885,0.015630993479094746,0.012610280015343308,0.015055619485999233
1970,Nixon,0.023069679849340864,0.02037322376305427,0.025894538606403013,0.05029104605375792,0.02268447183701421,0.04823660332134909,0.04207327512412258,0.0615904810820065,0.03192946413285397,0.032571477486731726,0.08174970039376818,0.02692175997260743,0.02705016264338298,0.05183187810306455,0.017548365005992123,0.02692175997260743,0.03180106146207841,0.042715288478000345,0.011641842150316727,0.012669063516521143,0.056069166238657764,0.025637733264851907,0.021914055812360896,0.02948981338811847,0.02409690121554528,0.0463105632597158,0.032057866803629514,0.048365005992124635,0.007532956685499059,0.018960794384523198
1971,Nixon,0.05819437426309584,0.011074616809836619,0.006021559710291393,0.029391948795688058,0.01372747178709786,0.017390938184268147,0.04619336365167593,0.09508169108977597,0.031286845208017514,0.01372747178709786,0.06577395991241368,0.026739093818426814,0.04720397507158498,0.10594576385379821,0.031792150917972044,0.03419235304025602,0.03052888664308573,0.05036213575880075,0.027497052383358596,0.0056425804278255,0.06046824995789119,0.019033181741620345,0.020549098871483915,0.016254000336870474,0.0037476840154960418,0.022570321711302,0.04012969513222167,0.0336870473303015,0.02206501600134748,0.01372747178709786
